case,class,representation,utf8_bytes,characters,tokens_cl100k_base,tokens_o200k_base,tokens_p50k_base,tokens_gpt2,tokenizer_families,triage_fields_preserved,notes
human-memory-3,contradicted_human_memory,B_record,296,296,159,162,179,179,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
human-memory-3,contradicted_human_memory,C_line,39,39,22,22,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
overclaim-1,agent_overclaim,A_prose,182,182,42,41,40,40,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-1,agent_overclaim,B_record,222,222,114,117,129,129,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-1,agent_overclaim,C_line,52,52,25,26,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
overclaim-2,agent_overclaim,A_prose,137,133,31,30,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-2,agent_overclaim,B_record,282,282,147,147,163,163,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-2,agent_overclaim,C_line,30,30,20,20,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
overclaim-3,agent_overclaim,A_prose,129,129,30,30,30,30,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-3,agent_overclaim,B_record,273,273,139,143,153,153,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
overclaim-3,agent_overclaim,C_line,42,42,25,26,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
queue-discovery-1,queue_retry_duplicate_discovery,A_prose,166,164,34,32,37,37,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-1,queue_retry_duplicate_discovery,B_record,305,305,158,160,179,179,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-1,queue_retry_duplicate_discovery,C_line,43,43,25,25,29,29,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
queue-discovery-2,queue_retry_duplicate_discovery,A_prose,168,166,33,32,36,36,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-2,queue_retry_duplicate_discovery,B_record,374,374,196,197,219,219,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-2,queue_retry_duplicate_discovery,C_line,43,43,27,26,30,30,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
queue-discovery-3,queue_retry_duplicate_discovery,A_prose,134,132,28,28,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-3,queue_retry_duplicate_discovery,B_record,310,310,159,159,171,171,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
queue-discovery-3,queue_retry_duplicate_discovery,C_line,39,39,24,24,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
blocker-1,blocker,A_prose,133,133,28,28,29,29,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-1,blocker,B_record,200,200,106,109,118,118,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-1,blocker,C_line,45,45,23,24,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
blocker-2,blocker,A_prose,161,159,35,34,37,37,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-2,blocker,B_record,268,268,140,141,150,150,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-2,blocker,C_line,31,31,21,20,21,21,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
blocker-3,blocker,A_prose,124,122,30,29,31,31,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-3,blocker,B_record,262,262,135,136,152,152,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
blocker-3,blocker,C_line,32,32,23,23,25,25,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
hypothesis-1,hypothesis,A_prose,213,211,50,49,54,54,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-1,hypothesis,B_record,320,320,147,149,167,167,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-1,hypothesis,C_line,36,36,22,22,25,25,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
hypothesis-2,hypothesis,A_prose,177,177,36,34,36,36,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-2,hypothesis,B_record,258,258,110,113,124,124,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-2,hypothesis,C_line,31,31,21,21,22,22,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
hypothesis-3,hypothesis,A_prose,186,184,38,36,38,38,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-3,hypothesis,B_record,335,335,147,149,166,166,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
hypothesis-3,hypothesis,C_line,33,33,22,22,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
goal-1,human_goal,A_prose,100,100,27,27,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-1,human_goal,B_record,185,185,85,86,96,96,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-1,human_goal,C_line,28,28,15,15,17,17,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
goal-2,human_goal,A_prose,84,84,20,20,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-2,human_goal,B_record,187,187,86,87,96,96,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-2,human_goal,C_line,25,25,16,16,17,17,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
goal-3,human_goal,A_prose,75,75,18,18,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-3,human_goal,B_record,206,206,104,104,114,114,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
goal-3,human_goal,C_line,24,24,17,17,18,18,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
value-1,human_value,A_prose,101,101,27,27,27,27,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-1,human_value,B_record,179,179,83,85,92,92,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-1,human_value,C_line,25,25,15,15,16,16,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
value-2,human_value,A_prose,57,57,9,9,10,10,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-2,human_value,B_record,197,197,92,94,97,97,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-2,human_value,C_line,25,25,16,16,17,17,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
value-3,human_value,A_prose,56,56,11,11,12,12,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-3,human_value,B_record,167,167,87,88,95,95,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
value-3,human_value,C_line,34,34,19,19,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
observation-1,evidence_backed_observation,A_prose,146,144,42,40,42,42,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-1,evidence_backed_observation,B_record,327,327,174,175,188,188,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-1,evidence_backed_observation,C_line,48,48,32,32,34,34,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
observation-2,evidence_backed_observation,A_prose,118,116,32,30,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-2,evidence_backed_observation,B_record,287,287,159,158,171,171,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-2,evidence_backed_observation,C_line,33,33,22,22,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
observation-3,evidence_backed_observation,A_prose,132,130,38,36,37,37,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-3,evidence_backed_observation,B_record,328,328,176,175,186,186,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
observation-3,evidence_backed_observation,C_line,34,34,22,23,24,24,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
unknown-1,unknown_uncertain,A_prose,101,101,15,15,15,15,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-1,unknown_uncertain,B_record,221,221,110,112,124,124,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-1,unknown_uncertain,C_line,46,46,24,24,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
unknown-2,unknown_uncertain,A_prose,102,102,20,19,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-2,unknown_uncertain,B_record,211,211,110,110,121,121,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-2,unknown_uncertain,C_line,33,33,20,20,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
unknown-3,unknown_uncertain,A_prose,95,95,20,20,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-3,unknown_uncertain,B_record,199,199,103,105,112,112,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unknown-3,unknown_uncertain,C_line,45,45,26,26,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
warning-1,warning,A_prose,160,158,34,33,35,35,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-1,warning,B_record,274,274,142,145,158,158,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-1,warning,C_line,27,27,17,17,19,19,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
warning-2,warning,A_prose,157,155,32,31,34,34,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-2,warning,B_record,279,279,147,149,160,160,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-2,warning,C_line,26,26,18,18,20,20,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
warning-3,warning,A_prose,130,130,23,23,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-3,warning,B_record,195,195,102,104,113,113,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
warning-3,warning,C_line,35,35,23,22,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
crossref-1,cross_reference,A_prose,161,157,37,35,39,39,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-1,cross_reference,B_record,354,354,191,192,207,207,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-1,cross_reference,C_line,41,41,26,25,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
crossref-2,cross_reference,A_prose,142,138,37,35,40,40,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-2,cross_reference,B_record,373,373,214,213,227,227,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-2,cross_reference,C_line,46,46,32,33,34,34,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
crossref-3,cross_reference,A_prose,142,138,35,33,38,38,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-3,cross_reference,B_record,338,338,180,181,197,197,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
crossref-3,cross_reference,C_line,35,35,24,24,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
unicode-1,unicode_content,A_prose,230,134,58,41,138,138,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-1,unicode_content,B_record,303,292,155,152,177,177,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-1,unicode_content,C_line,29,29,19,19,21,21,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
unicode-2,unicode_content,A_prose,117,105,33,29,39,39,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-2,unicode_content,B_record,280,252,144,137,165,165,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-2,unicode_content,C_line,24,20,21,18,23,23,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
unicode-3,unicode_content,A_prose,85,79,37,32,44,44,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-3,unicode_content,B_record,280,277,149,150,164,164,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
unicode-3,unicode_content,C_line,26,25,20,19,22,22,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,claim not representable in the line: OPEN RECORD
longpath-1,long_path_reference,A_prose,193,191,58,54,70,70,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-1,long_path_reference,B_record,381,381,179,177,209,209,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-1,long_path_reference,C_line,65,65,29,29,37,37,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
longpath-2,long_path_reference,A_prose,172,170,58,53,71,71,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-2,long_path_reference,B_record,360,360,177,175,209,209,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-2,long_path_reference,C_line,63,63,29,29,40,40,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
longpath-3,long_path_reference,A_prose,163,161,51,47,59,59,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-3,long_path_reference,B_record,355,355,171,169,197,197,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
longpath-3,long_path_reference,C_line,59,59,25,25,35,35,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
dictterms-1,repeated_dictionary_terms,A_prose,168,166,34,33,38,38,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-1,repeated_dictionary_terms,B_record,310,310,150,155,173,173,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-1,repeated_dictionary_terms,C_line,54,54,32,31,36,36,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
dictterms-2,repeated_dictionary_terms,A_prose,162,160,32,31,35,35,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-2,repeated_dictionary_terms,B_record,297,297,158,161,168,168,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-2,repeated_dictionary_terms,C_line,48,48,28,28,34,34,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
dictterms-3,repeated_dictionary_terms,A_prose,167,165,29,28,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-3,repeated_dictionary_terms,B_record,305,305,149,151,168,168,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
dictterms-3,repeated_dictionary_terms,C_line,43,43,29,29,32,32,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
