case,class,representation,utf8_bytes,characters,tokens_cl100k_base,tokens_o200k_base,tokens_p50k_base,tokens_gpt2
hypothesis-1,hypothesis,C3_frame_lowercase_claim,28,28,16,16,17,17
hypothesis-1,hypothesis,C4_frame_no_dictionary,42,42,19,20,23,23
hypothesis-2,hypothesis,A1_triage_prose,70,70,16,16,17,17
hypothesis-2,hypothesis,A2_full_prose,229,229,59,59,61,61
hypothesis-2,hypothesis,A3_human_prose,177,177,36,34,36,36
hypothesis-2,hypothesis,B_record,258,258,110,113,124,124
hypothesis-2,hypothesis,C1_line_v0,31,31,21,21,22,22
hypothesis-2,hypothesis,C2_frame_v01,26,26,16,16,17,17
hypothesis-2,hypothesis,C3_frame_lowercase_claim,26,26,16,16,16,16
hypothesis-2,hypothesis,C4_frame_no_dictionary,42,42,17,18,20,20
hypothesis-3,hypothesis,A1_triage_prose,77,77,15,15,16,16
hypothesis-3,hypothesis,A2_full_prose,293,293,91,91,100,100
hypothesis-3,hypothesis,A3_human_prose,186,184,38,36,38,38
hypothesis-3,hypothesis,B_record,335,335,147,149,166,166
hypothesis-3,hypothesis,C1_line_v0,33,33,22,22,23,23
hypothesis-3,hypothesis,C2_frame_v01,28,28,17,17,18,18
hypothesis-3,hypothesis,C3_frame_lowercase_claim,28,28,15,16,17,17
hypothesis-3,hypothesis,C4_frame_no_dictionary,41,41,17,17,20,20
goal-1,human_goal,A1_triage_prose,49,49,10,10,10,10
goal-1,human_goal,A2_full_prose,101,101,31,30,31,31
goal-1,human_goal,A3_human_prose,100,100,27,27,26,26
goal-1,human_goal,B_record,185,185,85,86,96,96
goal-1,human_goal,C1_line_v0,28,28,15,15,17,17
goal-1,human_goal,C2_frame_v01,23,23,10,10,12,12
goal-1,human_goal,C3_frame_lowercase_claim,23,23,10,10,12,12
goal-1,human_goal,C4_frame_no_dictionary,23,23,10,10,12,12
goal-2,human_goal,A1_triage_prose,46,46,11,11,11,11
goal-2,human_goal,A2_full_prose,103,103,34,33,34,34
goal-2,human_goal,A3_human_prose,84,84,20,20,20,20
goal-2,human_goal,B_record,187,187,86,87,96,96
goal-2,human_goal,C1_line_v0,25,25,16,16,17,17
goal-2,human_goal,C2_frame_v01,20,20,11,11,12,12
goal-2,human_goal,C3_frame_lowercase_claim,20,20,11,11,12,12
goal-2,human_goal,C4_frame_no_dictionary,20,20,11,11,12,12
goal-3,human_goal,A1_triage_prose,45,45,12,12,12,12
goal-3,human_goal,A2_full_prose,122,122,42,41,43,43
goal-3,human_goal,A3_human_prose,75,75,18,18,20,20
goal-3,human_goal,B_record,206,206,104,104,114,114
goal-3,human_goal,C1_line_v0,24,24,17,17,18,18
goal-3,human_goal,C2_frame_v01,19,19,12,12,13,13
goal-3,human_goal,C3_frame_lowercase_claim,19,19,12,12,13,13
goal-3,human_goal,C4_frame_no_dictionary,19,19,12,12,13,13
value-1,human_value,A1_triage_prose,52,52,11,11,11,11
value-1,human_value,A2_full_prose,101,101,32,31,33,33
value-1,human_value,A3_human_prose,101,101,27,27,27,27
value-1,human_value,B_record,179,179,83,85,92,92
value-1,human_value,C1_line_v0,25,25,15,15,16,16
value-1,human_value,C2_frame_v01,20,20,10,10,11,11
value-1,human_value,C3_frame_lowercase_claim,20,20,10,10,11,11
value-1,human_value,C4_frame_no_dictionary,20,20,10,10,11,11
value-2,human_value,A1_triage_prose,52,52,12,12,12,12
value-2,human_value,A2_full_prose,119,119,34,33,34,34
value-2,human_value,A3_human_prose,57,57,9,9,10,10
value-2,human_value,B_record,197,197,92,94,97,97
value-2,human_value,C1_line_v0,25,25,16,16,17,17
value-2,human_value,C2_frame_v01,20,20,11,11,12,12
value-2,human_value,C3_frame_lowercase_claim,20,20,11,11,12,12
value-2,human_value,C4_frame_no_dictionary,20,20,11,11,12,12
value-3,human_value,A1_triage_prose,50,50,11,11,11,11
value-3,human_value,A2_full_prose,89,89,32,31,33,33
value-3,human_value,A3_human_prose,56,56,11,11,12,12
value-3,human_value,B_record,167,167,87,88,95,95
value-3,human_value,C1_line_v0,34,34,19,19,20,20
value-3,human_value,C2_frame_v01,29,29,14,14,15,15
value-3,human_value,C3_frame_lowercase_claim,29,29,13,13,14,14
value-3,human_value,C4_frame_no_dictionary,29,29,14,14,15,15
observation-1,evidence_backed_observation,A1_triage_prose,79,79,25,25,27,27
observation-1,evidence_backed_observation,A2_full_prose,284,284,108,109,115,115
observation-1,evidence_backed_observation,A3_human_prose,146,144,42,40,42,42
observation-1,evidence_backed_observation,B_record,327,327,174,175,188,188
observation-1,evidence_backed_observation,C1_line_v0,48,48,32,32,34,34
observation-1,evidence_backed_observation,C2_frame_v01,46,46,29,29,31,31
observation-1,evidence_backed_observation,C3_frame_lowercase_claim,46,46,29,29,31,31
observation-1,evidence_backed_observation,C4_frame_no_dictionary,50,50,28,28,32,32
observation-2,evidence_backed_observation,A1_triage_prose,61,61,14,14,14,14
observation-2,evidence_backed_observation,A2_full_prose,241,241,91,92,95,95
observation-2,evidence_backed_observation,A3_human_prose,118,116,32,30,32,32
observation-2,evidence_backed_observation,B_record,287,287,159,158,171,171
observation-2,evidence_backed_observation,C1_line_v0,33,33,22,22,23,23
observation-2,evidence_backed_observation,C2_frame_v01,28,28,17,17,18,18
observation-2,evidence_backed_observation,C3_frame_lowercase_claim,28,28,17,17,18,18
observation-2,evidence_backed_observation,C4_frame_no_dictionary,28,28,17,17,18,18
observation-3,evidence_backed_observation,A1_triage_prose,62,62,11,11,11,11
observation-3,evidence_backed_observation,A2_full_prose,280,280,114,113,116,116
observation-3,evidence_backed_observation,A3_human_prose,132,130,38,36,37,37
observation-3,evidence_backed_observation,B_record,328,328,176,175,186,186
observation-3,evidence_backed_observation,C1_line_v0,34,34,22,23,24,24
observation-3,evidence_backed_observation,C2_frame_v01,29,29,17,18,19,19
observation-3,evidence_backed_observation,C3_frame_lowercase_claim,29,29,15,16,19,19
observation-3,evidence_backed_observation,C4_frame_no_dictionary,29,29,17,18,19,19
unknown-1,unknown_uncertain,A1_triage_prose,58,58,14,14,14,14
unknown-1,unknown_uncertain,A2_full_prose,176,176,49,50,52,52
unknown-1,unknown_uncertain,A3_human_prose,101,101,15,15,15,15
unknown-1,unknown_uncertain,B_record,221,221,110,112,124,124
unknown-1,unknown_uncertain,C1_line_v0,46,46,24,24,28,28
unknown-1,unknown_uncertain,C2_frame_v01,38,38,19,18,21,21
unknown-1,unknown_uncertain,C3_frame_lowercase_claim,38,38,17,17,19,19
unknown-1,unknown_uncertain,C4_frame_no_dictionary,52,52,20,22,26,26
unknown-2,unknown_uncertain,A1_triage_prose,48,48,12,12,12,12
unknown-2,unknown_uncertain,A2_full_prose,166,166,48,48,50,50
unknown-2,unknown_uncertain,A3_human_prose,102,102,20,19,20,20
unknown-2,unknown_uncertain,B_record,211,211,110,110,121,121
unknown-2,unknown_uncertain,C1_line_v0,33,33,20,20,23,23
unknown-2,unknown_uncertain,C2_frame_v01,28,28,15,15,18,18
unknown-2,unknown_uncertain,C3_frame_lowercase_claim,28,28,15,15,17,17
unknown-2,unknown_uncertain,C4_frame_no_dictionary,32,32,16,16,19,19
unknown-3,unknown_uncertain,A1_triage_prose,63,63,14,14,16,16
unknown-3,unknown_uncertain,A2_full_prose,153,153,48,48,50,50
unknown-3,unknown_uncertain,A3_human_prose,95,95,20,20,20,20
unknown-3,unknown_uncertain,B_record,199,199,103,105,112,112
unknown-3,unknown_uncertain,C1_line_v0,45,45,26,26,28,28
unknown-3,unknown_uncertain,C2_frame_v01,40,40,21,21,23,23
unknown-3,unknown_uncertain,C3_frame_lowercase_claim,40,40,16,16,20,20
unknown-3,unknown_uncertain,C4_frame_no_dictionary,43,43,20,20,23,23
warning-1,warning,A1_triage_prose,64,64,11,11,11,11
warning-1,warning,A2_full_prose,215,215,91,92,99,99
warning-1,warning,A3_human_prose,160,158,34,33,35,35
warning-1,warning,B_record,274,274,142,145,158,158
warning-1,warning,C1_line_v0,27,27,17,17,19,19
warning-1,warning,C2_frame_v01,22,22,12,12,14,14
warning-1,warning,C3_frame_lowercase_claim,22,22,12,12,14,14
warning-1,warning,C4_frame_no_dictionary,22,22,12,12,14,14
warning-2,warning,A1_triage_prose,72,72,13,13,13,13
warning-2,warning,A2_full_prose,229,229,84,84,90,90
warning-2,warning,A3_human_prose,157,155,32,31,34,34
warning-2,warning,B_record,279,279,147,149,160,160
warning-2,warning,C1_line_v0,26,26,18,18,20,20
warning-2,warning,C2_frame_v01,21,21,13,13,15,15
warning-2,warning,C3_frame_lowercase_claim,21,21,13,13,15,15
warning-2,warning,C4_frame_no_dictionary,21,21,13,13,15,15
warning-3,warning,A1_triage_prose,56,56,14,14,15,15
warning-3,warning,A2_full_prose,149,149,44,44,48,48
warning-3,warning,A3_human_prose,130,130,23,23,23,23
warning-3,warning,B_record,195,195,102,104,113,113
warning-3,warning,C1_line_v0,35,35,23,22,26,26
warning-3,warning,C2_frame_v01,30,30,18,17,21,21
warning-3,warning,C3_frame_lowercase_claim,30,30,16,17,19,19
warning-3,warning,C4_frame_no_dictionary,39,39,17,17,22,22
crossref-1,cross_reference,A1_triage_prose,86,86,17,17,17,17
crossref-1,cross_reference,A2_full_prose,299,299,128,126,137,137
crossref-1,cross_reference,A3_human_prose,161,157,37,35,39,39
crossref-1,cross_reference,B_record,354,354,191,192,207,207
crossref-1,cross_reference,C1_line_v0,41,41,26,25,28,28
crossref-1,cross_reference,C2_frame_v01,33,33,21,19,21,21
crossref-1,cross_reference,C3_frame_lowercase_claim,33,33,17,17,17,17
crossref-1,cross_reference,C4_frame_no_dictionary,47,47,22,23,26,26
crossref-2,cross_reference,A1_triage_prose,101,101,30,30,32,32
crossref-2,cross_reference,A2_full_prose,323,323,149,148,156,156
crossref-2,cross_reference,A3_human_prose,142,138,37,35,40,40
crossref-2,cross_reference,B_record,373,373,214,213,227,227
crossref-2,cross_reference,C1_line_v0,46,46,32,33,34,34
crossref-2,cross_reference,C2_frame_v01,44,44,29,30,31,31
crossref-2,cross_reference,C3_frame_lowercase_claim,44,44,29,30,31,31
crossref-2,cross_reference,C4_frame_no_dictionary,48,48,28,29,32,32
crossref-3,cross_reference,A1_triage_prose,89,89,18,19,19,19
crossref-3,cross_reference,A2_full_prose,294,294,128,127,136,136
crossref-3,cross_reference,A3_human_prose,142,138,35,33,38,38
crossref-3,cross_reference,B_record,338,338,180,181,197,197
crossref-3,cross_reference,C1_line_v0,35,35,24,24,26,26
crossref-3,cross_reference,C2_frame_v01,30,30,19,19,21,21
crossref-3,cross_reference,C3_frame_lowercase_claim,30,30,17,18,18,18
crossref-3,cross_reference,C4_frame_no_dictionary,36,36,21,21,23,23
unicode-1,unicode_content,A1_triage_prose,71,71,13,13,14,14
unicode-1,unicode_content,A2_full_prose,249,238,93,90,109,109
unicode-1,unicode_content,A3_human_prose,230,134,58,41,138,138
unicode-1,unicode_content,B_record,303,292,155,152,177,177
unicode-1,unicode_content,C1_line_v0,29,29,19,19,21,21
unicode-1,unicode_content,C2_frame_v01,24,24,14,14,16,16
unicode-1,unicode_content,C3_frame_lowercase_claim,24,24,14,14,16,16
unicode-1,unicode_content,C4_frame_no_dictionary,24,24,14,14,16,16
unicode-2,unicode_content,A1_triage_prose,61,57,15,14,16,16
unicode-2,unicode_content,A2_full_prose,221,193,89,84,104,104
unicode-2,unicode_content,A3_human_prose,117,105,33,29,39,39
unicode-2,unicode_content,B_record,280,252,144,137,165,165
unicode-2,unicode_content,C1_line_v0,24,20,21,18,23,23
unicode-2,unicode_content,C2_frame_v01,19,15,16,13,18,18
unicode-2,unicode_content,C3_frame_lowercase_claim,19,15,16,13,18,18
unicode-2,unicode_content,C4_frame_no_dictionary,19,15,16,13,18,18
unicode-3,unicode_content,A1_triage_prose,63,62,14,12,15,15
unicode-3,unicode_content,A2_full_prose,221,218,91,87,96,96
unicode-3,unicode_content,A3_human_prose,85,79,37,32,44,44
unicode-3,unicode_content,B_record,280,277,149,150,164,164
unicode-3,unicode_content,C1_line_v0,26,25,20,19,22,22
unicode-3,unicode_content,C2_frame_v01,21,20,15,14,17,17
unicode-3,unicode_content,C3_frame_lowercase_claim,21,20,15,14,17,17
unicode-3,unicode_content,C4_frame_no_dictionary,21,20,15,14,17,17
longpath-1,long_path_reference,A1_triage_prose,93,93,18,18,19,19
longpath-1,long_path_reference,A2_full_prose,331,331,120,118,140,140
longpath-1,long_path_reference,A3_human_prose,193,191,58,54,70,70
longpath-1,long_path_reference,B_record,381,381,179,177,209,209
longpath-1,long_path_reference,C1_line_v0,65,65,29,29,37,37
longpath-1,long_path_reference,C2_frame_v01,60,60,24,24,32,32
longpath-1,long_path_reference,C3_frame_lowercase_claim,60,60,22,22,26,26
longpath-1,long_path_reference,C4_frame_no_dictionary,65,65,25,25,33,33
longpath-2,long_path_reference,A1_triage_prose,91,91,20,19,24,24
longpath-2,long_path_reference,A2_full_prose,306,306,116,114,139,139
longpath-2,long_path_reference,A3_human_prose,172,170,58,53,71,71
longpath-2,long_path_reference,B_record,360,360,177,175,209,209
longpath-2,long_path_reference,C1_line_v0,63,63,29,29,40,40
longpath-2,long_path_reference,C2_frame_v01,58,58,24,24,35,35
longpath-2,long_path_reference,C3_frame_lowercase_claim,58,58,23,22,32,32
longpath-2,long_path_reference,C4_frame_no_dictionary,58,58,24,24,35,35
longpath-3,long_path_reference,A1_triage_prose,87,87,16,16,18,18
longpath-3,long_path_reference,A2_full_prose,301,301,109,107,128,128
longpath-3,long_path_reference,A3_human_prose,163,161,51,47,59,59
longpath-3,long_path_reference,B_record,355,355,171,169,197,197
longpath-3,long_path_reference,C1_line_v0,59,59,25,25,35,35
longpath-3,long_path_reference,C2_frame_v01,54,54,20,20,30,30
longpath-3,long_path_reference,C3_frame_lowercase_claim,54,54,20,20,25,25
longpath-3,long_path_reference,C4_frame_no_dictionary,59,59,21,21,31,31
dictterms-1,repeated_dictionary_terms,A1_triage_prose,86,86,22,22,23,23
dictterms-1,repeated_dictionary_terms,A2_full_prose,251,251,95,98,110,110
dictterms-1,repeated_dictionary_terms,A3_human_prose,168,166,34,33,38,38
dictterms-1,repeated_dictionary_terms,B_record,310,310,150,155,173,173
dictterms-1,repeated_dictionary_terms,C1_line_v0,54,54,32,31,36,36
dictterms-1,repeated_dictionary_terms,C2_frame_v01,46,46,28,26,29,29
dictterms-1,repeated_dictionary_terms,C3_frame_lowercase_claim,46,46,25,25,27,27
dictterms-1,repeated_dictionary_terms,C4_frame_no_dictionary,84,84,32,34,44,44
dictterms-2,repeated_dictionary_terms,A1_triage_prose,84,84,20,20,21,21
dictterms-2,repeated_dictionary_terms,A2_full_prose,238,238,92,93,96,96
dictterms-2,repeated_dictionary_terms,A3_human_prose,162,160,32,31,35,35
dictterms-2,repeated_dictionary_terms,B_record,297,297,158,161,168,168
dictterms-2,repeated_dictionary_terms,C1_line_v0,48,48,28,28,34,34
dictterms-2,repeated_dictionary_terms,C2_frame_v01,44,44,24,24,29,29
dictterms-2,repeated_dictionary_terms,C3_frame_lowercase_claim,44,44,23,24,27,27
dictterms-2,repeated_dictionary_terms,C4_frame_no_dictionary,71,71,27,28,32,32
dictterms-3,repeated_dictionary_terms,A1_triage_prose,84,84,20,20,22,22
dictterms-3,repeated_dictionary_terms,A2_full_prose,246,246,91,91,104,104
dictterms-3,repeated_dictionary_terms,A3_human_prose,167,165,29,28,32,32
dictterms-3,repeated_dictionary_terms,B_record,305,305,149,151,168,168
dictterms-3,repeated_dictionary_terms,C1_line_v0,43,43,29,29,32,32
dictterms-3,repeated_dictionary_terms,C2_frame_v01,41,41,25,25,29,29
dictterms-3,repeated_dictionary_terms,C3_frame_lowercase_claim,41,41,23,24,27,27
dictterms-3,repeated_dictionary_terms,C4_frame_no_dictionary,79,79,28,28,40,40
